index	id	firstname	surname	born	died	bornCountry	diedCountry	gender	year	category
180	355	Fritz Albert	Lipmann	06/12/1899	7/24/1986	Germany (now Russia)	USA	male	1953.0	medicine
181	355	Fritz Albert	Lipmann	06/12/1899	7/24/1986	Germany (now Russia)	USA	male	1953.0	medicine
182	42	Victor Franz	Hess	06/24/1883	12/17/1964	Austria	USA	male	1936.0	physics
183	192	Harold Clayton	Urey	04/29/1893	1/5/1981	USA	USA	male	1934.0	chemistry
184	321	Karl	Landsteiner	06/14/1868	6/26/1943	Austrian Empire (now Austria)	USA	male	1930.0	medicine
185	823	Harald	zur Hausen	3/11/1936	0000-00-00	Germany		male	2008.0	medicine
186	457	Stanley B.	Prusiner	5/28/1942	0000-00-00	USA		male	1997.0	medicine
187	353	Selman Abraham	Waksman	07/22/1888	8/16/1973	Russian Empire (now Ukraine)	USA	male	1952.0	medicine
188	239	Luis F.	Leloir	9/6/1906	12/2/1987	France	Argentina	male	1970.0	chemistry
189	319	Christiaan	Eijkman	08/11/1858	11/5/1930	the Netherlands	the Netherlands	male	1929.0	medicine
190	310	Schack August Steenberg	Krogh	11/15/1874	9/13/1949	Denmark	Denmark	male	1920.0	medicine
191	22	Charles Glover	Barkla	06/07/1877	10/23/1944	United Kingdom	Scotland	male	1917.0	physics
192	336	Edward Adelbert	Doisy	11/13/1893	10/23/1986	USA	USA	male	1943.0	medicine
193	354	Hans Adolf	Krebs	8/25/1900	11/22/1981	Germany	United Kingdom	male	1953.0	medicine
194	863	Ralph M.	Steinman	1/14/1943	9/30/2011	Canada		male	2011.0	medicine
195	19	Max	von Laue	10/09/1879	4/23/1960	Germany	West Germany (now Germany)	male	1914.0	physics
196	24	Johannes	Stark	04/15/1874	6/21/1957	Germany	West Germany (now Germany)	male	1919.0	physics
197	33	Arthur Holly	Compton	09/10/1892	3/15/1962	USA	USA	male	1927.0	physics
198	202	Otto	Hahn	03/08/1879	7/28/1968	Germany	West Germany (now Germany)	male	1944.0	chemistry
199	312	Otto Fritz	Meyerhof	04/12/1884	10/6/1951	Germany	USA	male	1922.0	medicine
200	347	Walter Rudolf	Hess	03/17/1881	8/12/1973	Switzerland	Switzerland	male	1949.0	medicine
201	436	Susumu	Tonegawa	9/6/1939	0000-00-00	Japan		male	1987.0	medicine
202	320	Sir Frederick Gowland	Hopkins	06/20/1861	5/16/1947	United Kingdom	United Kingdom	male	1929.0	medicine
203	346	Paul Hermann	Môller	01/12/1899	10/12/1965	Switzerland	Switzerland	male	1948.0	medicine
204	315	Willem	Einthoven	05/21/1860	9/29/2027	Java, Dutch East Indies (now Indonesia)	the Netherlands	male	1924.0	medicine
205	322	Otto Heinrich	Warburg	10/08/1883	8/1/1970	Germany	West Germany (now Germany)	male	1931.0	medicine
206	329	Hans	Spemann	06/27/1869	9/12/1941	W&uuml;rttemberg (now Germany)	Germany	male	1935.0	medicine
207	345	Bernardo Alberto	Houssay	04/10/1887	9/21/1971	Argentina	Argentina	male	1947.0	medicine
208	43	Carl David	Anderson	9/3/1905	1/11/1991	USA	USA	male	1936.0	physics
