title,duration,rating,stars,votes
The Punisher,53 min,8.5,"['Jon Bernthal, ', 'Amber Rose Revah, ', 'Ben Barnes, ', 'Jason R. Moore']","231,599"
Midnight Mass,450 min,7.7,"['Kate Siegel, ', 'Zach Gilford, ', 'Kristin Lehman, ', 'Samantha Sloyan']","110,997"
Roswell New Mexico,45 min,6.2,"['Jeanine Mason, ', 'Nathan Parsons, ', 'Michael Vlamis, ', 'Lily Cowles']","12,827"
Taxi Driver,114 min,8.2,"['Martin Scorsese', '| ', '    Stars:', 'Robert De Niro, ', 'Jodie Foster, ', 'Cybill Shepherd, ', 'Albert Brooks']","819,599"
Teen Wolf,41 min,7.7,"['Tyler Posey, ', 'Holland Roden, ', ""Dylan O'Brien, "", 'Linden Ashby']","146,991"
Vikings: Valhalla,51 min,7.2,"['Sam Corlett, ', 'Leo Suter, ', 'Jóhannes Haukur Jóhannesson, ', 'Lujza Richter']","37,571"
New Amsterdam,43 min,8.0,"['Ryan Eggold, ', 'Janet Montgomery, ', 'Jocko Sims, ', 'Tyler Labine']","37,212"
Léon: The Professional,110 min,8.5,"['Luc Besson', '| ', '    Stars:', 'Jean Reno, ', 'Gary Oldman, ', 'Natalie Portman, ', 'Danny Aiello']","1,147,345"
Arrow,42 min,7.5,"['Stephen Amell, ', 'Katie Cassidy, ', 'David Ramsey, ', 'Susanna Thompson']","429,943"
The Good Nurse,121 min,7.8,"['Tobias Lindholm', '| ', '    Stars:', 'Jessica Chastain, ', 'Eddie Redmayne, ', 'Kim Dickens, ', 'Noah Emmerich']",116
The Good Place,22 min,8.2,"['Kristen Bell, ', 'William Jackson Harper, ', 'Jameela Jamil, ', ""D'Arcy Carden""]","156,760"
Agents of S.H.I.E.L.D.,45 min,7.5,"['Clark Gregg, ', 'Ming-Na Wen, ', 'Brett Dalton, ', 'Iain De Caestecker']","216,461"
Mother!,121 min,6.6,"['Darren Aronofsky', '| ', '    Stars:', 'Jennifer Lawrence, ', 'Javier Bardem, ', 'Ed Harris, ', 'Michelle Pfeiffer']","224,398"
Hustle,117 min,7.3,"['Jeremiah Zagar', '| ', '    Stars:', 'Adam Sandler, ', 'Queen Latifah, ', 'Juancho Hernangomez, ', 'Ben Foster']","110,391"
Terim,,7.0,"['Fatih Terim, ', 'Bülent Timurlenk, ', 'Okan Buruk, ', 'Faruk Süren']","4,279"
365 Days: This Day,111 min,2.6,"['Barbara Bialowas, ', 'Tomasz Mandes', '| ', '    Stars:', 'Anna-Maria Sieklucka, ', 'Michele Morrone, ', 'Simone Susinna, ', 'Magdalena Lamparska']","19,357"
Cheers,22 min,7.9,"['Ted Danson, ', 'Rhea Perlman, ', 'John Ratzenberger, ', 'George Wendt']","54,765"
Line of Duty,60 min,8.7,"['Martin Compston, ', 'Vicky McClure, ', 'Adrian Dunbar, ', 'Craig Parkinson']","58,387"
Pieces of Her,52 min,6.3,"['Toni Collette, ', 'Bella Heathcote, ', 'Jessica Barden, ', 'Joe Dempsie']","25,208"
The Departed,151 min,8.5,"['Martin Scorsese', '| ', '    Stars:', 'Leonardo DiCaprio, ', 'Matt Damon, ', 'Jack Nicholson, ', 'Mark Wahlberg']","1,310,171"
Star Wars: The Clone Wars,23 min,8.4,"['Tom Kane, ', 'Dee Bradley Baker, ', 'Matt Lanter, ', 'James Arnold Taylor']","94,334"
Star Trek: Deep Space Nine,45 min,8.1,"['Avery Brooks, ', 'Rene Auberjonois, ', 'Cirroc Lofton, ', 'Alexander Siddig']","62,898"
Spider-Man,121 min,7.4,"['Sam Raimi', '| ', '    Stars:', 'Tobey Maguire, ', 'Kirsten Dunst, ', 'Willem Dafoe, ', 'James Franco']","809,904"
Santo,45 min,5.0,"['Raúl Arévalo, ', 'Bruno Gagliasso, ', 'Victoria Guerra, ', 'Greta Fernández']",417
Delhi Crime,50 min,8.5,"['Shefali Shah, ', 'Rajesh Tailang, ', 'Rasika Dugal, ', 'Anurag Arora']","22,337"
JoJo's Bizarre Adventure,30 min,8.4,"['David Vincent, ', 'Matthew Mercer, ', 'Daisuke Ono, ', 'Unshô Ishizuka']","22,677"
House of Cards,51 min,8.7,"['Kevin Spacey, ', 'Michel Gill, ', 'Robin Wright, ', 'Kate Mara']","500,982"
